acres,areaname,agency
1805.76,Stevens,AQ-DNR
1013.88,Thurston,AQ-DFW
2006.41,Thurston,CONSERVATION
23005.82,Thurston,FEDERAL
22995.02,Thurston,DNR AQUATIC
127914.14,Thurston,COUNTY-LANDUSE
78.62,Thurston,AQ-PARKS
1514.15,Thurston,PARKS
2702.73,Thurston,COUNTY-ACQ
64080.31,Thurston,DNR UPLANDS
590.49,Thurston,DEVELOPED RECREATION
127914.14,Thurston,COUNTY-OWNER
440.51,Thurston,OTHER PUBLIC
1610.23,Thurston,AQ-DNR
2007.27,Thurston,DFW
2701.02,Thurston,HABITAT AND PASSIVE RECREATION
60312.41,Thurston,UNKNOWN
61863.3,Thurston,REVENUE
14311.57,Thurston,CITY-COUNTY
303.72,Wahkiakum,CITY-COUNTY
12475.52,Wahkiakum,DNR AQUATIC
2940.08,Wahkiakum,FEDERAL
56230.15,Wahkiakum,COUNTY-LANDUSE
67.01,Wahkiakum,AQ-DNR
79.68,Wahkiakum,OTHER PUBLIC
84.91,Wahkiakum,HABITAT AND PASSIVE RECREATION
119.97,Wahkiakum,AQ-DFW
56230.15,Wahkiakum,COUNTY-OWNER
225.9,Wahkiakum,CONSERVATION
39922.47,Wahkiakum,REVENUE
197.87,Wahkiakum,DEVELOPED RECREATION
362.46,Wahkiakum,DFW
40148.37,Wahkiakum,DNR UPLANDS
186.98,Wahkiakum,COUNTY-ACQ
15719.32,Wahkiakum,UNKNOWN
213.87,Walla Walla,DEVELOPED RECREATION
10933.83,Walla Walla,CITY-COUNTY
53433.95,Walla Walla,COUNTY-LANDUSE
6387.25,Walla Walla,DNR AQUATIC
34380.41,Walla Walla,UNKNOWN
18839.63,Walla Walla,REVENUE
17059.33,Walla Walla,FEDERAL
18839.63,Walla Walla,DNR UPLANDS
0,Walla Walla,COUNTY-ACQ
0.04,Walla Walla,HABITAT AND PASSIVE RECREATION
0.04,Walla Walla,PARKS
213.87,Walla Walla,DFW
53433.95,Walla Walla,COUNTY-OWNER
1738.15,Whatcom,CONSERVATION
2851.75,Whatcom,PARKS
1207014.59,Whatcom,COUNTY-OWNER
88157.49,Whatcom,DNR UPLANDS
871837.04,Whatcom,FEDERAL
2949.71,Whatcom,DFW
148.39,Whatcom,AQ-DFW
87110.07,Whatcom,REVENUE
218883.18,Whatcom,DNR AQUATIC
1113076.02,Whatcom,UNKNOWN
171.09,Whatcom,AQ-DNR
22335.42,Whatcom,CITY-COUNTY
16.9,Whatcom,OTHER PUBLIC
319.48,Whatcom,COUNTY-ACQ
585.65,Whatcom,DEVELOPED RECREATION
4487.8,Whatcom,HABITAT AND PASSIVE RECREATION
1207014.59,Whatcom,COUNTY-LANDUSE
53204.53,Whitman,COUNTY-OWNER
0.69,Whitman,CITY-COUNTY
9236.23,Whitman,FEDERAL
16647.22,Whitman,UNKNOWN
1100.61,Whitman,AQ-PARKS
3636.22,Whitman,HABITAT AND PASSIVE RECREATION
4684.9,Whitman,AQ-DNR
7410.3,Whitman,DNR AQUATIC
5785.51,Whitman,COUNTY-ACQ
31658.93,Whitman,REVENUE
53204.53,Whitman,COUNTY-LANDUSE
171.26,Whitman,DEVELOPED RECREATION
1090.9,Whitman,OTHER PUBLIC
1528.36,Whitman,PARKS
2279.12,Whitman,DFW
32749.83,Whitman,DNR UPLANDS
0.44,Yakima,AQ-PARKS
2654.32,Yakima,DNR AQUATIC
13878.02,Yakima,CITY-COUNTY
81270.54,Yakima,DFW
713709.81,Yakima,UNKNOWN
16327.46,Yakima,AQ-DFW
190053.31,Yakima,DNR UPLANDS
985299.03,Yakima,COUNTY-OWNER
1079.49,Yakima,DEVELOPED RECREATION
80433.47,Yakima,HABITAT AND PASSIVE RECREATION
985299.03,Yakima,COUNTY-LANDUSE
62297.75,Yakima,COUNTY-ACQ
697177.47,Yakima,FEDERAL
60.36,Yakima,OTHER PUBLIC
265.37,Yakima,PARKS
1556.47,Yakima,CONSERVATION
188459.43,Yakima,REVENUE
45969.85,Yakima,AQ-DNR
