acres,areaname,agency
410.5,Foster,DEVELOPED RECREATION
160.03,San Juan,CONSERVATION
112405.04,Salmon-Washougal,WRIA-OWNER
629.52,Methow,AQ-PARKS
396350.31,Middle Snake,WRIA-LANDUSE
137933.95,Middle Lake Roosevelt,WRIA-OWNER
133.99,San Juan,WRIA-ACQ
176.94,Kennedy-Goldsborough,AQ-PARKS
111.73,Island,CONSERVATION
2351.88,Klickitat,DEVELOPED RECREATION
5190.87,Kitsap,AQ-DNR
78921.57,Foster,WRIA-LANDUSE
613190.07,Naches,WRIA-OWNER
2999.64,Lower Skagit-Samish,WRIA-ACQ
566603.6,Pend Oreille,WRIA-OWNER
57735.49,Nisqually,REVENUE
396350.31,Middle Snake,WRIA-OWNER
8729.29,Lower Chehalis,CONSERVATION
43861.29,Okanogan,HABITAT AND PASSIVE RECREATION
212020.75,Upper Yakima,REVENUE
2,Lyre-Hoko,OTHER PUBLIC
2473.7,Upper Chehalis,HABITAT AND PASSIVE RECREATION
47864.27,Kennedy-Goldsborough,WRIA-LANDUSE
182.98,Queets-Quinault,DEVELOPED RECREATION
0,Walla Walla,WRIA-ACQ
168.9,Middle Spokane,CONSERVATION
1120.95,Duwamish-Green,HABITAT AND PASSIVE RECREATION
15398.61,Klickitat,HABITAT AND PASSIVE RECREATION
11669.63,Little Spokane,REVENUE
377104.18,Lewis,UNKNOWN
52.99,Sanpoil,DEVELOPED RECREATION
82176.72,Grays-Elochoman,WRIA-LANDUSE
461.26,Kennedy-Goldsborough,AQ-DNR
208796.47,Island,WRIA-LANDUSE
860.91,Skokomish-Dosewallips,DEVELOPED RECREATION
2.51,Quilcene-Snow,OTHER PUBLIC
574.19,Grays-Elochoman,DEVELOPED RECREATION
34268.29,Deschutes,WRIA-LANDUSE
159649.15,Duwamish-Green,WRIA-LANDUSE
72626.12,Walla Walla,UNKNOWN
2469.14,Middle Snake,AQ-DNR
236229.89,Colville,WRIA-LANDUSE
80.35,Grays-Elochoman,OTHER PUBLIC
50.16,Cowlitz,CONSERVATION
10370.89,Duwamish-Green,CONSERVATION
85612.06,Lower Yakima,REVENUE
216141.31,Quilcene-Snow,UNKNOWN
39.32,Puyallup-White,OTHER PUBLIC
1170503.81,Methow,UNKNOWN
36.71,Puyallup-White,DFW
45.6,Soleduc,DFW
94.27,Chambers-Clover,DFW
186.51,Upper Lake Roosevelt,DNR AQUATIC
571.75,Stillaguamish,PARKS
1071.98,Kennedy-Goldsborough,PARKS
2340.11,Lower Skagit-Samish,PARKS
2397.27,Grays-Elochoman,CITY-COUNTY
2967.97,Cedar-Sammamish,PARKS
2982.38,Palouse,DFW
3052.81,Grays-Elochoman,FEDERAL
3240.27,Quilcene-Snow,CITY-COUNTY
3398.5,Colville,DNR AQUATIC
4942.27,Island,PARKS
5636.27,Middle Spokane,DNR UPLANDS
5709.34,Wenatchee,DNR AQUATIC
6411.56,Upper Chehalis,CITY-COUNTY
6504.22,Wind-White Salmon,DNR AQUATIC
6985.36,Lower Lake Roosevelt,FEDERAL
6986.96,Lower Spokane,PARKS
7066.59,Deschutes,CITY-COUNTY
